Massa (em massas solares),Raio (em raios solares),Temperatura (em Kelvin),Distância (em anos-luz),Luminosidade (em luminosidade solar),Estrela,Constelação (Em Português)
18.00,73.00,11500,773.0,85000,Rigel,Órion
2.00,1.71,25369,8.6,24.7,Sírius,Cão Maior
1.10,1.22,5795,4.4,1.5,Alpha Centauri,Centauro
2.15,2.80,8152,25.0,40,Vega,Lira
14.00,4.76,30000,320.0,25000,Acrux,Cruzeiro Do Sul
1.13,45.00,4055,66.6,518.0,Aldebaran,Touro
15.50,883.00,3500,605.0,11000,Antares,Escorpião
1.91,8.80,4666,33.8,43.0,Pollux,Gêmeos
2.56,11.98,4970,42.0,78.7,capella,Cocheiro
14.00,887.00,3600,720.0,4520,Betelgeuse,Órion
2.00,1.60,6900,16.0,10.6,Altair,Águia
1.08,25.00,4280,36.7,170.0,Arcturus,Boeiro
8.00,71.00,6998,310.0,10700,Canopus,Carina
1.40,0.01,6530,11.4,7.1,Procyon,Cão Menor
6.70,7.30,15000,139.0,3150,Achernar,Eridano
10.25,7.40,22400,260.0,12100,Spica,Virgem
1.92,1.84,8590,24.8,16.6,Formalhaut,Peixes
19.00,203.00,8525,2613.0,196000,Deneb,Cisne
3.80,4.35,11668,70.3,0.5,Regulus,Leão
10.00,13.90,24750,430.0,20000,Adhara,Cão Maior
9.60,4.70,25000,540.0,36300,Shaula,Escorpião
2.76,2.40,10286,51.0,34,Castor,Gêmeos
